year,month,month_name,total_orders,unique_customers,total_revenue,avg_order_value,total_freight
2016,9,September,1,1,134.97,44.99,8.49
2016,10,October,265,265,40325.11,128.83,6165.55
2016,12,December,1,1,10.9,10.9,8.72
2017,1,January,750,750,111798.36,122.45,15684.01
2017,2,February,1653,1653,234223.4,126.06,37015.92
2017,3,March,2546,2546,359198.85,123.99,55132.1
2017,4,April,2303,2303,340669.68,132.61,50142.72
2017,5,May,3546,3546,489338.25,122.21,77513.15
2017,6,June,3135,3135,421923.37,120.93,68127.0
2017,7,July,3872,3872,481604.52,109.06,84694.56
2017,8,August,4193,4193,554699.7,115.63,91132.66
2017,9,September,4150,4150,607399.67,128.22,93677.82
2017,10,October,4478,4478,648247.65,124.33,102869.36
2017,11,November,7289,7289,987765.37,116.55,165598.83
2017,12,December,5513,5513,726033.19,117.35,117045.1
2018,1,January,7069,7069,924645.0,115.05,153242.46
2018,2,February,6555,6555,826437.13,109.93,139731.28
2018,3,March,7003,7003,953356.25,118.92,167241.99
2018,4,April,6798,6798,973534.09,124.38,159344.84
2018,5,May,6749,6749,977544.69,125.17,151229.83
2018,6,June,6099,6099,856077.86,122.12,155900.43
2018,7,July,6159,6159,867953.46,124.65,159853.82
2018,8,August,6351,6351,838576.64,117.41,146915.0
